naics97,naics02,mappings,wt_mappings
32742/,32742/,1,1
327420,327420,1,1
3279//,3279//,5,1
32791/,32791/,1,1
327910,327910,1,1
32799/,32799/,4,1
327991,327991,1,1
327992,327992,1,1
327993,327993,1,1
327999,327999,1,1
331///,331///,26,1
3311//,3311//,2,1
33111/,33111/,2,1
331111,331111,1,1
331112,331112,1,1
3312//,3312//,3,1
33121/,33121/,1,1
331210,331210,1,1
33122/,33122/,2,1
331221,331221,1,1
331222,331222,1,1
3313//,3313//,6,1
33131/,33131/,6,1
331311,331311,1,1
331312,331312,1,1
331314,331314,1,1
331315,331315,1,1
331316,331316,1,1
331319,331319,1,1
3314//,3314//,7,1
33141/,33141/,2,1
331411,331411,1,1
331419,331419,1,1
33142/,33142/,3,1
331421,331421,1,1
331422,331422,1,1
331423,331423,1,1
33149/,33149/,2,1
331491,331491,1,1
331492,331492,1,1
3315//,3315//,8,1
33151/,33151/,3,1
331511,331511,1,1
331512,331512,1,1
331513,331513,1,1
33152/,33152/,5,1
331521,331521,1,1
331522,331522,1,1
331524,331524,1,1
331525,331525,1,1
331528,331528,1,1
332///,332///,43,1
3321//,3321//,6,1
33211/,33211/,6,1
332111,332111,1,1
332112,332112,1,1
332114,332114,1,1
332115,332115,1,1
332116,332116,1,1
332117,332117,1,1
3322//,3322//,4,1
33221/,33221/,4,1
332211,332211,1,1
332212,332212,1,1
332213,332213,1,1
332214,332214,1,1
3323//,3323//,6,1
33231/,33231/,3,1
332311,332311,1,1
332312,332312,1,1
332313,332313,1,1
33232/,33232/,3,1
332321,332321,1,1
332322,332322,1,1
332323,332323,1,1
3324//,3324//,4,1
33241/,33241/,1,1
332410,332410,1,1
33242/,33242/,1,1
332420,332420,1,1
33243/,33243/,2,1
332431,332431,1,1
332439,332439,1,1
3325//,3325//,1,1
33251/,33251/,1,1
332510,332510,1,1
3326//,3326//,3,1
33261/,33261/,3,1
332611,332611,1,1
332612,332612,1,1
332618,332618,1,1
3327//,3327//,3,1
33271/,33271/,1,1
332710,332710,1,1
33272/,33272/,2,1
332721,332721,1,1
332722,332722,1,1
3328//,3328//,3,1
33281/,33281/,3,1
332811,332811,1,1
332812,332812,1,1
332813,332813,1,1
3329//,3329//,13,1
33291/,33291/,4,1
332911,332911,1,1
332912,332912,1,1
332913,332913,1,1
332919,332919,1,1
33299/,33299/,9,1
332991,332991,1,1
332992,332992,1,1
332993,332993,1,1
332994,332994,1,1
332995,332995,1,1
332996,332996,1,1
332997,332997,1,1
332998,332998,1,1
332999,332999,1,1
333///,333///,49,1
3331//,3331//,5,1
33311/,33311/,2,1
333111,333111,1,1
333112,333112,1,1
33312/,33312/,1,1
333120,333120,1,1
33313/,33313/,2,1
333131,333131,1,1
