sic87,naics97,mapping_ec,mapping_official,mapping_all,weight_mapping_ec,weight_mapping_official,weight_mapping_all,weight_emp,weight_estabs,weight_pay,weight_ship,rw1,tot_rw,rw2,weight_hybrid,source,weight_shipments,emp,estabs,shipments,pay,test
0780,5413//,0,1,1,,.25,.25,,,,,.25,1,0,.25,,,,,,,1
0780,5416//,0,1,1,,.25,.25,,,,,.25,1,0,.25,,,,,,,1
0780,5617//,0,2,2,,.5,.5,,,,,.5,1,0,.5,,,,,,,1
0781,541320,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0781,541690,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0782,561730,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0783,561730,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0800,111///,0,2,2,,.40000001,.40000001,,,,,.40000001,1,0,.40000001,,,,,,,1
0800,113///,0,2,2,,.40000001,.40000001,,,,,.40000001,1,0,.40000001,,,,,,,1
0800,115///,0,1,1,,.2,.2,,,,,.2,1,0,.2,,,,,,,1
0810,1114//,0,1,1,,.5,.5,,,,,.5,1,0,.5,,,,,,,1
0810,1131//,0,1,1,,.5,.5,,,,,.5,1,0,.5,,,,,,,1
0811,111421,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0811,113110,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0830,1119//,0,1,1,,.5,.5,,,,,.5,1,0,.5,,,,,,,1
0830,1132//,0,1,1,,.5,.5,,,,,.5,1,0,.5,,,,,,,1
0831,111998,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0831,113210,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0850,1153//,0,1,1,,1,1,,,,,1,1,0,1,,,,,,,1
0851,115310,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0900,111///,0,1,1,,.14285715,.14285715,,,,,.14285715,1,0,.14285715,,,,,,,1
0900,112///,0,2,2,,.2857143,.2857143,,,,,.2857143,1,0,.2857143,,,,,,,1
0900,114///,0,4,4,,.5714286,.5714286,,,,,.5714286,1,0,.5714286,,,,,,,1
0910,1119//,0,1,1,,.25,.25,,,,,.25,1,0,.25,,,,,,,1
0910,1141//,0,3,3,,.75,.75,,,,,.75,1,0,.75,,,,,,,1
0912,114111,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0913,114112,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0919,111998,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0919,114119,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
