sic72,sic77,mappings,weight_mappings
3221,3221,1,1
3229,3229,1,1
3230,3230,1,1
3231,3231,1,1
3240,3240,1,1
3241,3241,1,1
3250,3250,4,1
3251,3251,1,1
3253,3253,1,1
3255,3255,1,1
3259,3259,1,1
3260,3260,5,1
3261,3261,1,1
3262,3262,1,1
3263,3263,1,1
3264,3264,1,1
3269,3269,1,1
3270,3270,5,1
3271,3271,1,1
3272,3272,1,1
3273,3273,1,1
3274,3274,1,1
3275,3275,1,1
3280,3280,1,1
3281,3281,1,1
3290,3290,7,1
3291,3291,1,1
3292,3292,1,1
3293,3293,1,1
3295,3295,1,1
3296,3296,1,1
3297,3297,1,1
3299,3299,1,1
3300,3300,26,1
3310,3310,5,1
3312,3312,1,1
3313,3313,1,1
3315,3315,1,1
3316,3316,1,1
3317,3317,1,1
3320,3320,4,1
3321,3321,1,1
3322,3322,1,1
3324,3324,1,1
3325,3325,1,1
3330,3330,5,1
3331,3331,1,1
3332,3332,1,1
3333,3333,1,1
3334,3334,1,1
3339,3339,1,1
3340,3340,1,1
3341,3341,1,1
3350,3350,6,1
3351,3351,1,1
3353,3353,1,1
3354,3354,1,1
3355,3355,1,1
3356,3356,1,1
3357,3357,1,1
3360,3360,3,1
3361,3361,1,1
3362,3362,1,1
3369,3369,1,1
3390,3390,2,1
3398,3398,1,1
3399,3399,1,1
3400,3400,36,1
3410,3410,2,1
3411,3411,1,1
3412,3412,1,1
3420,3420,4,1
3421,3421,1,1
3423,3423,1,1
3425,3425,1,1
3429,3429,1,1
3430,3430,3,1
3431,3431,1,1
3432,3432,1,1
3433,3433,1,1
3440,3440,7,1
3441,3441,1,1
3442,3442,1,1
3443,3443,1,1
3444,3444,1,1
3446,3446,1,1
3448,3448,1,1
3449,3449,1,1
3450,3450,2,1
3451,3451,1,1
3452,3452,1,1
3460,3460,5,1
3462,3462,1,1
3463,3463,1,1
3465,3465,1,1
3466,3466,1,1
3469,3469,1,1
3470,3470,2,1
3471,3471,1,1
3479,3479,1,1
3480,3480,4,1
3482,3482,1,1
3483,3483,1,1
3484,3484,1,1
3489,3489,1,1
3490,3490,7,1
3493,3493,1,1
3494,3494,1,1
3495,3495,1,1
3496,3496,1,1
3497,3497,1,1
3498,3498,1,1
3499,3499,1,1
3500,3500,45,1
3510,3510,2,1
3511,3511,1,1
3519,3519,1,1
3520,3520,2,1
3523,3523,1,1
3524,3524,1,1
3530,3530,7,1
3531,3531,1,1
3532,3532,1,1
3533,3533,1,1
3534,3534,1,1
3535,3535,1,1
3536,3536,1,1
3537,3537,1,1
3540,3540,7,1
3541,3541,1,1
3542,3542,1,1
3544,3544,1,1
3545,3545,1,1
3546,3546,1,1
3547,3547,1,1
3549,3549,1,1
3550,3550,6,1
3551,3551,1,1
3552,3552,1,1
3553,3553,1,1
3554,3554,1,1
3555,3555,1,1
3559,3559,1,1
3560,3560,9,1
3561,3561,1,1
3562,3562,1,1
3563,3563,1,1
3564,3564,1,1
3565,3565,1,1
3566,3566,1,1
3567,3567,1,1
3568,3568,1,1
3569,3569,1,1
3570,3570,5,1
3572,3572,1,1
3573,3573,1,1
3574,3574,1,1
3576,3576,1,1
3579,3579,1,1
3580,3580,5,1
3581,3581,1,1
3582,3582,1,1
3585,3585,1,1
3586,3586,1,1
3589,3589,1,1
3590,3590,2,1
3592,3592,1,1
3599,3599,1,1
3600,3600,39,1
3610,3610,2,1
3612,3612,1,1
3613,3613,1,1
3620,3620,5,1
3621,3621,1,1
3622,3622,1,1
3623,3623,1,1
3624,3624,1,1
3629,3629,1,1
3630,3630,7,1
3631,3631,1,1
3632,3632,1,1
3633,3633,1,1
3634,3634,1,1
3635,3635,1,1
3636,3636,1,1
3639,3639,1,1
3640,3640,7,1
3641,3641,1,1
3643,3643,1,1
3644,3644,1,1
3645,3645,1,1
3646,3646,1,1
3647,3647,1,1
3648,3648,1,1
3650,3650,2,1
3651,3651,1,1
3652,3652,1,1
3660,3660,2,1
3661,3661,1,1
3662,3662,1,1
3670,3670,9,1
3671,3671,1,1
3672,3672,1,1
3673,3673,1,1
3674,3674,1,1
3675,3675,1,1
3676,3676,1,1
3677,3677,1,1
3678,3678,1,1
3679,3679,1,1
3690,3690,5,1
3691,3691,1,1
3692,3692,1,1
3693,3693,1,1
3694,3694,1,1
3699,3699,1,1
3700,3700,18,1
3710,3710,4,1
3711,3711,1,1
3713,3713,1,1
3714,3714,1,1
3715,3715,1,1
3720,3720,3,1
3721,3721,1,1
3724,3724,1,1
3728,3728,1,1
3730,3730,2,1
3731,3731,1,1
3732,3732,1,1
3740,3740,1,1
3743,3743,1,1
3750,3750,1,1
3751,3751,1,1
3760,3760,3,1
3761,3761,1,1
3764,3764,1,1
3769,3769,1,1
3790,3710,1,.25
3790,3790,3,.75
3792,3716,1,.5
3792,3792,1,.5
3795,3795,1,1
3799,3799,1,1
3800,3800,13,1
3810,3810,1,1
3811,3811,1,1
3820,3820,5,1
3822,3822,1,1
3823,3823,1,1
3824,3824,1,1
3825,3825,1,1
3829,3829,1,1
3830,3830,1,1
3832,3832,1,1
3840,3840,3,1
3841,3841,1,1
3842,3842,1,1
3843,3843,1,1
3850,3850,1,1
3851,3851,1,1
3860,3860,1,1
3861,3861,1,1
3870,3870,1,1
3873,3873,1,1
3900,3900,21,1
3910,3910,3,1
3911,3911,1,1
3914,3914,1,1
3915,3915,1,1
3930,3930,1,1
3931,3931,1,1
3940,3940,3,1
3942,3942,1,1
3944,3944,1,1
3949,3949,1,1
3950,3950,4,1
3951,3951,1,1
3952,3952,1,1
3953,3953,1,1
3955,3955,1,1
3960,3960,4,1
3961,3961,1,1
3962,3962,1,1
3963,3963,1,1
3964,3964,1,1
3990,3990,6,1
3991,3991,1,1
3993,3993,1,1
3995,3995,1,1
3996,3996,1,1
3999,3999,1,1
399\,399\,1,1
40--,40--,70,1
4000,4000,3,1
4010,4010,2,1
4011,4011,1,1
4013,4013,1,1
4040,4010,1,1
4041,4010,1,1
4100,4100,9,1
4110,4110,2,1
4111,4111,1,1
4119,4119,1,1
4120,4120,1,1
4121,4121,1,1
4130,4130,1,1
4131,4131,1,1
4140,4140,2,1
4141,4141,1,1
4142,4142,1,1
4150,4150,1,1
4151,4151,1,1
4170,4170,2,1
4171,4171,1,1
4172,4172,1,1
4200,4200,9,1
4210,4210,3,1
4212,4212,1,1
4213,4213,1,1
4214,4214,1,1
4220,4220,5,1
4221,4221,1,1
4222,4222,1,1
4224,4224,1,1
4225,4225,1,1
4226,4226,1,1
4230,4230,1,1
4231,4231,1,1
4300,4300,1,1
4310,4310,1,1
4311,4311,1,1
4400,4400,13,1
4410,4410,1,1
4411,4411,1,1
4420,4420,3,1
4421,4421,1,1
4422,4422,1,1
4423,4423,1,1
4430,4430,1,1
4431,4431,1,1
4440,4440,1,1
4441,4441,1,1
4450,4450,4,1
4452,4452,1,1
4453,4453,1,1
4454,4454,1,1
4459,4459,1,1
4460,4460,3,1
4463,4463,1,1
4464,4464,1,1
4469,4469,1,1
4500,4500,4,1
4510,4510,1,1
4511,4511,1,1
4520,4520,1,1
4521,4521,1,1
4580,4580,2,1
4582,4582,1,1
4583,4583,1,1
4600,4600,3,1
4610,4610,3,1
4612,4612,1,1
4613,4613,1,1
4619,4619,1,1
4700,4700,9,1
4710,4710,1,1
4712,4712,1,1
4720,4720,2,1
4722,4722,1,1
4723,4723,1,1
4740,4740,2,1
4742,4742,1,1
4743,4743,1,1
4780,4780,4,1
4782,4782,1,1
4783,4783,1,1
4784,4784,1,1
4789,4789,1,1
4800,4800,5,1
4810,4810,1,1
4811,4811,1,1
4820,4820,1,1
4821,4821,1,1
4830,4830,2,1
4832,4832,1,1
4833,4833,1,1
4890,4890,1,1
4899,4899,1,1
4900,4900,15,1
4910,4910,1,1
4911,4911,1,1
4920,4920,4,1
4922,4922,1,1
4923,4923,1,1
4924,4924,1,1
4925,4925,1,1
4930,4930,3,1
4931,4931,1,1
4932,4932,1,1
4939,4939,1,1
