stcode,state,cocode,geoname
36,WI,660,WAUKESHA
36,WI,670,WAUPACA
36,WI,680,WAUSHARA
36,WI,690,WINNEBAGO
36,WI,700,WOOD
36,WI,710,MENOMINEE
36,WI,990,STATEWIDE
41,MN,0,AITKIN
41,MN,10,ANOKA
41,MN,20,BECKER
41,MN,30,BELTRAMI
41,MN,40,BENTON
41,MN,50,BIG STONE
41,MN,60,BLUE EARTH
41,MN,70,BROWN
41,MN,80,CARLTON
41,MN,90,CARVER
41,MN,100,CASS
41,MN,110,CHIPPEWA
41,MN,120,CHISAGO
41,MN,130,CLAY
41,MN,140,CLEARWATER
41,MN,150,COOK
41,MN,160,COTTONWOOD
41,MN,170,CROW WING
41,MN,180,DAKOTA
41,MN,190,DODGE
41,MN,200,DOUGLAS
41,MN,210,FARIBAULT
41,MN,220,FILLMORE
41,MN,230,FREEBORN
41,MN,240,GOODHUE
41,MN,250,GRANT
41,MN,260,HENNEPIN
41,MN,270,HOUSTON
41,MN,280,HUBBARD
41,MN,290,ISANTI
41,MN,300,ITASCA
41,MN,310,JACKSON
41,MN,320,KANABEC
41,MN,330,KANDIYOHI
41,MN,340,KITTSON
41,MN,350,KOOCHICHING
41,MN,360,LAC QUI PARLE
41,MN,370,LAKE
41,MN,380,LAKE OF THE WOODS
41,MN,390,LE SUEUR
41,MN,400,LINCOLN
41,MN,410,LYON
41,MN,420,MCLEOD
41,MN,430,MAHNOMEN
41,MN,440,MARSHALL
41,MN,450,MARTIN
41,MN,460,MEEKER
41,MN,470,MILLE LACS
41,MN,480,MORRISON
41,MN,490,MOWER
41,MN,500,MURRAY
41,MN,510,NICOLLET
41,MN,520,NOBLES
41,MN,530,NORMAN
41,MN,540,OLMSTED
41,MN,550,OTTER TAIL
41,MN,560,PENNINGTON
41,MN,570,PINE
41,MN,580,PIPESTONE
41,MN,590,POLK
41,MN,600,POPE
41,MN,610,RAMSEY
41,MN,620,RED LAKE
41,MN,630,REDWOOD
41,MN,640,RENVILLE
41,MN,650,RICE
41,MN,660,ROCK
41,MN,670,ROSEAU
41,MN,680,ST LOUIS
41,MN,690,SCOTT
41,MN,700,SHERBURNE
41,MN,710,SIBLEY
41,MN,720,STEARNS
41,MN,730,STEELE
41,MN,740,STEVENS
41,MN,750,SWIFT
41,MN,760,TODD
41,MN,770,TRAVERSE
41,MN,780,WABASHA
41,MN,790,WADENA
