book_id,file,state,city,year,n_rows,n_pages,n_listings,n_categories,n_sets,categories_sample,year_fct,year_num
02578,book_02578.csv,California,Los Angeles (Western),1962,20981,68,3171,320,3,(Con'd); Aircraft parts; Aircraft Schools; Antiques-Dealers; Appliances-Major; Appliances-Small; Artificial Limbs; Artists Fine Arts; Artists Materials Refail; Automobile Dealers-Used Cars,1962,1962
02579,book_02579.csv,California,Los Angeles (Western),1963,81740,221,15238,1160,2,";  Plastics-Rods, Tubes, Sheets, Etc; Afforneys; Air Compressors-Renting; Air Conditioning Contractors (Cont'd), Air Conditioning Equipment-Room, Air Conditioning Equipment-Servicing,  Air Conditioning Equipment &; Air Conditioning Equipment & Supplies; Air Conditioning-Auto; Air Freight Service; Air Line Companies; Air Travel Ticket Agencies",1963,1963
02731,book_02731.csv,California,Morgan Hill,1955,37888,234,3494,381,10,Air Conditioning Equipment & Supplies-Retail; Air Line Ticket Agencies-; Air Travel Ticket Agencies; Air Travel Ticket Agencies-; Ambulance Service; Antiques-Dealers; Appliances-Household; Appliances-Household-Major; Attorneys-; Automobile Dealers-New Cars,1955,1955
book_02733.csv,book_02733.csv,,,,0,0,0,0,0,ERROR,,
book_02744.csv,book_02744.csv,,,,0,0,0,0,0,ERROR,,
02746,book_02746.csv,California,Napa County,1957,131146,389,21705,1552,6,"; & Parts-; & Systems-; Advertising Service, Air Compressors; Advertising Signs-See Signs; Advertising-Directories-See Directories; Air Compressors-Renting; Air Conditioning Contractors; Air Conditioning Contractors-(Cont'd),Air Conditioning Equipment  & Supplies-; Air Conditioning Equipment & Supplies",1957,1957
02766,book_02766.csv,California,Newhall,1955,48590,399,4611,715,4,"; (Cont'd), Greases; & Parts-; Air Conditioning Contractors; Air Conditioning Equipment; Air Line Companies; Air Line Companies-; Air Line Ticket Agencies; Aircraft Mfrs; Aircraft Parts",1955,1955
02767,book_02767.csv,California,Newhall,1959,77853,457,5935,1030,6,; & Parts; & Supplies-Renting; Accommodations-Vacation see; Accountants-Public; Acetylene Welding see; Adding & Calculating Machines; Adding & Calculating Machines &; Address Directory see; Advertising-Directory & Guide,1959,1959
02768,book_02768.csv,California,Novato,1959,43202,0,6586,641,5,; & Systems; Air Compressors-Renting; Air Conditioning Equipment; Air Conditioning Equipment-Room; Airports; Antiques-Repairing & Restoring; Arch Supports-See Foot Appliances; Archery Equipment & Supplies; Architects,1959,1959
02976,book_02976.csv,California,Palmdale,1958,53971,327,13626,428,3,"; (Cont'd), & Mfrs; & Mfrs; & Supplies-Renting; Agencies; Air Conditioning Contractors; Air Conditioning Equipment; Air Line Companies-; Air Taxi & Charter Service; Aircraft Dealers & Distributors",1958,1958
02978,book_02978.csv,California,Palmdale,1960,45243,274,5007,1946,3,; & Supplies; & Supplies-Renting; Abstracters; Account Bookkeepers; Accountants-Certified Public; Accountants-Public; Accounting Forms; Accounting Systems; Acetylene Welding,1960,1960
02979,book_02979.csv,California,Palmdale,1962,54858,297,6298,772,3,"; Accommodations-Vacation; Accommodations-Vacation See, Accounting & Bookkeeping; Accountants-Certified Public; Accountants-Public; Accounting & Bookkeeping; Accounting & bookkeeping machines & supplies; Acetylene Welding See; Adding & Calculating Machines &; Adjusters",1962,1962
book_03166.csv,book_03166.csv,,,,0,0,0,0,0,ERROR,,
book_03177.csv,book_03177.csv,,,,0,0,0,0,0,ERROR,,
03521,book_03521.CSV,California,San Luis Obispo County,1950,47194,268,1362,679,4,"; (Cont'd) ,; Adding & Calculating Machines; Adjusters-; Advertising Signs-See Signs; Advertising-Radio; Agricultural Implements-See Farm; Air Compressors-Renting; Air Line Companies; Air Line Companies-",1950,1950
03522,book_03522.CSV,California,San Luis Obispo County,1953,87363,327,6815,898,5,; Adjusters; Advertising-Outdoor; Agencies-; Air Compressors-Renting; Ambulance Service-; Ambulance-Artists; Antiques-Dealers; Antiques-Repairing & Restoring; Apartments-,1953,1953
03523,book_03523.CSV,California,San Luis Obispo County,1958,122053,329,18265,1216,5,; & Dealers; & Parts; Adverlising Service; Advertising Service-; Advertising Signs-See Signs; Air Compressors-Renting; Air Conditioning Equipment & Supplies; Air Conditioning Equipment & Supplies-(Cant'd); Air Conditioning Equipment-Room,1958,1958
03524,book_03524.CSV,California,San Luis Obispo County,1961,114243,331,14214,1173,5,";  Funeral Directors-(Cont'd), Furnaces-Heating-;  Hardware & Equipment, Hardware-Whsle & Mfrs ;  Serap Metals, Seeds & Bulbs-Retail ;  Truck Dealers-New, ;  Vertical Blinds, Vitamins-Raw Materials, Wash Fountains ; & Service; & Service-; Advertis-Magazine; Advertising Agencies & Counselors",1961,1961
03622,book_03622.csv,California,Santa Cruz County,1951,100995,322,6842,846,5,; & Residential-; & Service-; Adding & Calculating Machines; Adjusters-; Advertising Service; advertising sings-see signs; Advertising-Direct Mail; Advertising-Outdoor; Advertising-Radio,1951,1951
04467,book_04467.csv,Connecticut,Milford,1950,64852,333,3382,1138,6,; -Retail-; & Manufacturers; & Sold; Aluminum-; Andirons-See Fireplace Equipment; Annealing-See Heat Treating-Metal; Antiques Appraised-See Appraisers; Antiques-; Antiques-Repairing & Restoring,1950,1950
book_04468.CSV,book_04468.CSV,,,,0,0,0,0,0,ERROR,,
book_04469.csv,book_04469.csv,,,,0,0,0,0,0,ERROR,,
book_04471.csv,book_04471.csv,,,,0,0,0,0,0,ERROR,,
book_04555.csv,book_04555.csv,,,,0,0,0,0,0,ERROR,,
04576,book_04576.csv,Connecticut,Willimantic,1954,57218,228,25781,414,6,"& Manufacturers-Con.; Accommodations-Con.; Accountants-Certified Public; Accountants-Public; Advertising-Telephone; Air Conditioning  Contractors; Airplane Instruction-Flying; Aluminum-Sheet, Rod,; Amusement Devices-Coin; Antiques-Repairing &",1954,1954
04577,book_04577.csv,Connecticut,Willimantic,1957,97472,293,17626,1687,6," Beauty Shops-Continued, Beauty Shops-Continued, Beer & Ale-Wholesale-Con.;  Glass Products, Hardware Retail;  Hearing Aids-Continued, Heat Treating-Metal; & Manufacturers; Abattoirs, Adding & Calculating Machines-Continued, Aerial Photography, Air Conditioning Equipment-Room Units-Con.; Accordion Instruction; Accountants-Certified; Accountants-Public; Accounting Machines, Advertising Display Material, FEDDERS AIR CONDITIONERS, Air Conditioning Equipment; Acetylene Welding-See Welding",1957,1957
04583,book_04583.csv,Connecticut,Willimantic,1951,42938,230,3044,646,4,Antiques Appraised; Antiques Dealers; Antiques-Repairing & Restoring; Antiques-Reproductions; Apron Service; Arborists; Architects' & Builders' Service; Artists'Materials; Asbestos Shingles; Asbestos Siding,1951,1951
book_07552.csv,book_07552.csv,,,,0,0,0,0,0,ERROR,,
07757,book_07757.csv,Pennsylvania,Lower Bucks County,1956,169071,580,33661,1859,5,";  Desks-Business, Diabetic Foods;  Windows & Sash-Metal, Wire Recorders ;  Wood Preserving, Yardsticks; (Cont'd), (Cont'd) ; & Gardeners; & Supplies; Abdominal Supporters-Dealers; Accountants-Cerlified Public; Accountants-Certified Public",1956,1956
book_07758.csv,book_07758.csv,,,,0,0,0,0,0,ERROR,,
book_08387.csv,book_08387.csv,,,,0,0,0,0,0,ERROR,,
book_08388.csv,book_08388.csv,,,,0,0,0,0,0,ERROR,,
book_08402.CSV,book_08402.CSV,,,,0,0,0,0,0,ERROR,,
book_08405.CSV,book_08405.CSV,,,,0,0,0,0,0,ERROR,,
book_08419.csv,book_08419.csv,,,,0,0,0,0,0,ERROR,,
08518,book_08518.csv,Pennsylvania,Zelienople,1961,83471,248,19360,1438,4,; Adverfising-Television Station Representatives; Advertising-Bus; Advertising-Car Card; Advertising-Directory & Guide; Advertising-Newspaper; Advertising-Outdoor; Advertising-Radio Station Representatives; Advertising-Transportation; Air  Raid Shelters,1961,1961
book_08519.csv,book_08519.csv,,,,0,0,0,0,0,ERROR,,
08522,book_08522.csv,Pennsylvania,Zelienople,1975,128614,343,21926,754,5,; -; Air Condifioning-Room Units; Air Conditioning Contractors-; Air Conditioning Equipment & Systems; Air Conditioning Equipment & Systems-; Air Conditioning-Room Units; Air Conditioning-Room Units-; Aircraft Instruction-Flying & Mechanical; Alternators & Generators-Automotive,1975,1975
08523,book_08523.CSV,Pennsylvania,Zelienople,1978,149274,286,22894,714,5,";  Automobile Bumpers, Bumper Guards;  Automobile Seat Covers, Tops &;  Carpet & Rug Dealers-New (Cont'd), Carpet & Rug Dealers-New (Cont'd), Carpet & Rug Dealers-New;  Tire Dealers-Retail (Cont'd), Tire Dealers-Retail (Cont'd), Tools-Electric, Towers; (Cont'd),; (Cont'd), (Cont'd) ; (Cont'd), (Cont'd),; (Cont'd), (Cont'd), (Cont'd),; (Cont'd), Group Association & Corporate",1978,1978
08524,book_08524.CSV,Pennsylvania,Scranton,1970,198576,382,37538,1015,4,; -Retail; (Pest Control); & Manufacturers; & Rebuilt; & Supplies; & Ventilating; Accounfants-Public; Accountants-Certified Public; Accountants-Public,1970,1970
