psu2,hh_size,age_category,gender,weight,store_installment_debt,bank_installment_debt,store_revolving_debt,has_charge_account,income,year
77,2,3,1,208,0,1000,0,0,202,1949
12,5,4,1,135,0,0,0,1,1430,1949
26,6,5,2,135,0,0,0,0,0,1949
43,2,2,1,378,0,0,0,1,240,1949
69,3,5,1,208,0,0,40,1,404,1949
47,4,3,1,208,0,0,0,1,450,1949
43,4,4,1,378,0,0,10,1,235,1949
85,2,4,1,208,0,0,0,0,600,1949
16,3,5,1,234,0,0,0,0,255,1949
64,2,4,1,208,0,0,0,1,875,1949
64,4,3,1,411,0,0,0,1,450,1949
16,3,3,2,234,0,0,0,0,340,1949
16,2,5,1,135,0,0,0,0,700,1949
16,3,5,1,135,0,0,0,1,1300,1949
40,4,2,1,411,0,0,40,1,307,1949
16,4,3,1,234,0,200,0,0,260,1949
15,3,4,1,234,0,0,0,1,1515,1949
84,2,5,1,411,0,0,0,0,150,1949
48,5,2,1,378,0,0,0,0,388,1949
49,5,3,2,208,0,0,0,0,418,1949
49,4,5,1,208,0,0,0,0,240,1949
84,3,3,1,378,0,1200,0,0,305,1949
85,2,4,2,208,0,0,0,1,380,1949
85,2,1,1,208,0,0,0,0,540,1949
84,2,4,1,234,0,0,0,0,327,1949
42,5,4,1,184,0,0,0,0,86,1949
51,3,3,1,184,0,400,0,0,85,1949
77,5,4,1,234,0,0,0,0,254,1949
77,5,3,1,234,0,1000,0,0,634,1949
77,3,3,1,234,0,0,0,0,239,1949
77,3,3,1,234,0,1450,50,1,385,1949
77,4,2,1,234,0,0,50,1,176,1949
77,1,1,1,234,0,0,0,0,275,1949
77,4,2,1,234,0,0,0,0,389,1949
43,4,4,1,378,0,0,10,1,316,1949
32,2,6,1,184,0,0,0,1,101,1949
89,3,2,1,208,0,0,0,1,450,1949
73,5,4,1,208,0,0,10,1,520,1949
88,3,5,1,378,0,0,0,1,150,1949
16,4,4,1,234,50,0,0,1,328,1949
74,3,4,1,208,0,0,10,1,420,1949
74,2,3,1,552,0,0,10,1,800,1949
42,3,2,1,184,0,0,0,1,227,1949
89,4,2,1,208,0,0,0,1,312,1949
89,2,2,1,208,0,600,30,1,420,1949
92,4,3,1,208,0,0,0,1,320,1949
16,1,3,2,135,0,0,0,0,194,1949
16,4,3,1,411,0,130,0,0,300,1949
47,2,5,1,208,0,0,0,0,0,1949
15,2,6,1,234,0,0,0,0,416,1949
51,3,2,1,208,0,0,0,1,650,1949
51,3,3,1,208,0,0,0,0,340,1949
17,3,4,1,234,0,0,0,0,310,1949
65,1,6,2,208,0,0,0,0,142,1949
32,4,3,1,184,0,150,30,1,168,1949
78,2,4,1,234,0,0,0,0,249,1949
78,3,3,1,208,0,0,0,0,380,1949
78,3,2,1,234,0,1200,20,1,234,1949
78,2,4,1,234,0,0,0,0,88,1949
68,4,4,1,234,0,0,0,0,787,1949
68,1,6,2,234,0,0,0,0,680,1949
16,3,2,1,135,0,0,0,0,400,1949
88,3,4,1,234,0,0,0,0,113,1949
86,3,5,1,378,0,0,0,0,260,1949
64,4,3,1,208,0,500,0,1,1600,1949
26,2,3,1,135,0,0,0,1,1000,1949
17,3,2,1,411,0,250,0,0,370,1949
32,2,1,1,378,0,0,0,0,213,1949
89,3,2,2,208,0,0,0,0,0,1949
90,2,3,1,411,0,0,0,0,390,1949
90,8,4,1,411,0,0,0,0,400,1949
43,2,4,1,208,0,0,0,1,700,1949
47,4,3,1,208,0,0,0,0,400,1949
11,5,5,1,234,0,0,0,0,360,1949
11,3,3,1,411,0,0,0,0,300,1949
11,2,6,1,411,0,0,0,1,227,1949
88,5,3,1,378,0,0,0,1,930,1949
68,5,4,1,234,0,0,0,0,258,1949
47,4,2,1,378,0,100,0,0,360,1949
80,2,5,1,208,0,0,0,0,125,1949
68,4,4,1,234,0,0,0,0,783,1949
68,3,3,1,234,0,0,0,0,288,1949
68,3,2,1,234,0,0,0,0,75,1949
65,3,5,1,234,0,0,0,0,382,1949
78,4,2,1,234,0,420,0,0,96,1949
42,2,5,1,184,0,0,0,1,28,1949
85,1,4,1,234,0,0,0,1,80,1949
51,2,6,1,378,0,0,0,0,150,1949
51,2,3,2,208,0,0,20,1,248,1949
80,4,6,1,473,0,0,0,0,2,1949
51,5,5,1,378,0,0,0,0,168,1949
11,1,5,1,552,0,0,0,0,297,1949
90,4,3,1,208,0,0,0,1,760,1949
90,2,4,1,411,0,0,0,0,187,1949
89,3,2,1,208,0,0,0,0,580,1949
43,3,1,1,378,0,0,0,0,210,1949
43,6,2,1,378,0,0,0,0,248,1949
69,6,4,1,234,0,0,0,0,271,1949
16,3,4,1,411,0,0,0,0,385,1949
16,8,4,1,411,0,0,0,0,352,1949
48,3,6,1,378,0,0,0,0,275,1949
26,3,2,1,234,0,0,0,1,500,1949
16,6,3,1,234,0,0,100,1,300,1949
16,3,1,1,234,0,0,0,1,345,1949
37,4,3,1,411,0,0,0,0,120,1949
43,3,2,1,378,0,0,0,0,220,1949
43,3,2,1,378,0,0,0,0,240,1949
79,4,4,1,135,0,5000,150,1,546,1949
79,2,4,1,411,0,0,30,1,368,1949
79,2,4,1,411,0,0,0,0,400,1949
43,2,1,1,319,0,0,0,0,331,1949
16,2,5,1,135,0,0,70,1,480,1949
16,2,4,2,411,0,0,0,0,231,1949
88,8,6,1,234,0,0,0,0,764,1949
69,4,3,1,234,0,1000,0,0,133,1949
89,8,4,1,473,0,0,0,0,200,1949
44,2,4,1,208,0,0,0,0,490,1949
33,2,2,1,208,0,0,0,0,300,1949
33,6,2,1,378,0,50,10,1,453,1949
33,2,3,1,208,0,0,500,1,639,1949
33,2,3,1,208,0,0,0,0,205,1949
35,3,2,1,208,0,0,0,0,414,1949
35,3,3,1,208,0,0,0,0,255,1949
35,4,2,1,184,0,0,0,0,127,1949
42,4,4,1,353,0,0,0,0,319,1949
64,1,1,2,319,0,0,0,1,110,1949
64,5,3,1,208,0,0,20,1,672,1949
42,2,5,1,184,0,0,0,1,841,1949
76,1,6,2,208,0,0,0,0,75,1949
16,2,3,1,234,0,250,0,0,304,1949
26,3,4,1,135,0,0,0,1,820,1949
12,2,2,1,234,0,0,30,1,503,1949
49,6,3,1,208,0,0,0,0,420,1949
49,4,2,1,378,0,170,0,0,359,1949
49,5,5,1,208,0,0,0,0,240,1949
68,5,3,1,234,0,0,0,0,202,1949
49,6,4,1,208,0,0,80,1,250,1949
42,4,2,1,353,0,0,50,1,350,1949
89,3,2,1,378,0,540,50,1,504,1949
64,1,1,1,319,0,0,0,0,122,1949
64,5,2,1,208,0,0,0,0,300,1949
64,3,2,1,208,0,200,0,1,263,1949
17,4,3,1,234,50,0,90,1,350,1949
86,2,6,1,208,0,0,0,0,150,1949
86,2,1,1,378,0,700,0,0,107,1949
67,3,1,1,473,0,0,0,0,480,1949
77,3,2,1,473,0,1470,0,0,174,1949
77,2,6,1,473,0,0,0,0,76,1949
35,4,2,1,353,0,0,0,0,200,1949
11,2,5,2,234,0,1500,20,1,344,1949
88,8,4,1,378,0,0,0,0,120,1949
11,4,4,1,234,0,3000,50,1,830,1949
62,2,6,1,208,0,0,10,1,184,1949
62,3,3,1,208,0,0,70,1,400,1949
78,3,4,1,208,0,0,0,1,185,1949
78,2,6,1,208,0,0,0,0,108,1949
78,5,3,1,208,0,0,0,1,161,1949
78,3,2,1,208,0,600,0,0,337,1949
25,2,5,2,234,0,0,0,0,90,1949
11,1,6,1,234,0,0,0,0,0,1949
16,2,5,1,411,0,1600,0,0,200,1949
64,3,4,1,319,0,0,0,0,310,1949
11,5,2,1,234,0,1000,0,0,920,1949
75,3,1,1,411,50,200,0,1,261,1949
75,6,3,1,208,0,0,0,0,600,1949
67,8,3,1,411,0,150,0,0,310,1949
67,3,2,1,411,0,0,0,0,370,1949
67,5,3,1,208,0,130,100,1,412,1949
16,2,4,1,135,0,0,0,0,495,1949
16,1,1,2,135,0,0,0,0,150,1949
16,1,1,2,135,0,0,0,0,150,1949
16,1,4,2,135,0,0,0,1,270,1949
71,3,4,1,208,0,0,0,0,276,1949
12,1,5,2,135,0,0,50,1,576,1949
12,1,4,1,234,0,0,0,0,500,1949
12,3,4,1,234,0,500,150,1,670,1949
34,8,3,1,184,0,0,0,0,252,1949
34,5,3,1,184,0,110,10,1,185,1949
82,2,4,1,135,0,0,100,1,915,1949
48,2,5,1,353,0,0,0,0,120,1949
19,5,3,1,135,0,0,0,0,420,1949
66,3,2,1,208,0,0,10,1,360,1949
66,8,3,1,473,0,170,0,0,360,1949
78,2,6,1,208,0,0,0,0,403,1949
79,3,2,1,208,0,0,0,1,390,1949
79,3,4,1,411,0,0,0,1,521,1949
12,4,4,2,411,50,0,0,0,183,1949
12,3,4,1,135,0,0,100,1,0,1949
12,1,4,1,135,0,0,0,0,0,1949
12,2,4,1,135,0,1000,40,1,0,1949
