durable,income,debt,year,weight,durable_debt,has_card_b,card_spend_b,card_bal_b,has_card_s,card_spend_s,card_bal_s,state
350,2800,1206,1960,1,350,,,,,,,
200,,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5580,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3250,0,1960,1,0,,,,,,,
310,6882,0,1960,1,0,,,,,,,
190,5300,52,1960,1,190,,,,,,,
316,7000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",7200,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6100,150,1960,1,0,,,,,,,
160,5000,1095,1960,1,160,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5000,308,1960,1,0,,,,,,,
75,4800,140,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3000,639,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1600,0,1960,1,0,,,,,,,
428,3200,706,1960,1,428,,,,,,,
335,10163,0,1960,1,0,,,,,,,
475,4800,585,1960,1,237.5,,,,,,,
69,6500,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6600,322,1960,1,0,,,,,,,
240,8480,0,1960,1,240,,,,,,,
539,8000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6691,700,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6800,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",18000,800,1960,1,0,,,,,,,
200,800,210,1960,1,200,,,,,,,
179,5300,840,1960,1,179,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",850,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4120,0,1960,1,0,,,,,,,
399,10900,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2200,0,1960,1,0,,,,,,,
145,6500,15,1960,1,72.5,,,,,,,
300,2940,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
137,6900,0,1960,1,0,,,,,,,
