psu,weight,durable_price,durable,item_code1,item_code2,item_code3,item_code4,item_code5,item_code6,item_code_a1,item_code_a2,item_code_a3,payment_method,year,code_string,code_a_string,television,refrigerator,washing_machine,cook_stove,clothes_dryer,dishwasher,freezer,credit_use,psu2,city_cca
6521,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,65,
2418,33,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,24,
9909,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,99,
9804,29,278,175,5,0,0,0,0,0,0,0,0,2,1959,500000,000,0,0,0,0,0,0,0,1,98,
7701,30,330,330,&,0,0,0,0,0,3,0,0,2,1959,&00000,300,0,0,0,0,0,0,1,1,77,Phoenix
3814,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,38,
8718,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,87,
8416,33,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,84,Omaha
6412,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,64,
0202,29,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,02,Newark
0201,29,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,02,Newark
7702,30,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,77,Phoenix
&104,32,244,244,2,0,0,0,0,0,0,0,0,2,1959,200000,000,0,1,0,0,0,0,0,1,&1,Newark
1235,32,239,239,2,0,0,0,0,0,0,0,0,1,1959,200000,000,0,1,0,0,0,0,0,0,12,Newark
6414,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,64,
7827,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,78,
8407,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,84,Omaha
7828,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,78,
-717,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,-7,San Jose
-717,42,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,-7,San Jose
-721,34,75,75,&,0,0,0,0,0,2,0,0,1,1959,&00000,200,0,0,0,0,0,0,0,0,-7,San Jose
2105,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,21,
5203,34,279,279,2,0,0,0,0,0,0,0,0,2,1959,200000,000,0,1,0,0,0,0,0,1,52,
-706,30,750,750,5,0,0,0,0,0,0,0,0,1,1959,500000,000,0,0,0,0,0,0,0,0,-7,San Jose
4638,33,258,258,5,0,0,0,0,0,0,0,0,1,1959,500000,000,0,0,0,0,0,0,0,0,46,Columbus
4245,35,239,185,1,0,0,0,0,0,0,0,0,1,1959,100000,000,1,0,0,0,0,0,0,0,42,
0127,34,1908,1908,1,2,3,5,0,0,0,0,0,3,1959,123500,000,1,1,1,0,0,0,0,0.5,01,
-716,30,820,745,2,3,&,0,0,0,2,0,0,2,1959,23&000,200,0,1,1,0,0,0,0,1,-7,San Jose
3613,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,36,Columbus
