weight,debt,durable,durable_debt,income,year,has_card,card_spend,card_bal,has_card_s,card_spend_s,card_bal_s
1,,2650,1100,11750,1977,1,300,0,,,
1,,328,164,,1977,1,0,0,1,,
1,,500,0,5500,1977,0,0,0,,,
1,,800,0,23750,1977,1,0,0,,,
1,,0,0,13750,1977,1,1200,250,1,1200,250
1,,290,0,2500,1977,0,0,0,,,
1,,500,500,16250,1977,1,1200,0,1,1200,
1,,300,0,5500,1977,0,0,0,,,
1,,0,0,11750,1977,0,0,0,,,
1,,2127,0,13750,1977,1,1200,0,,,
1,,0,0,6750,1977,0,0,0,,,
1,,1050,0,16250,1977,0,0,0,,,
1,,0,0,32500,1977,1,1944,0,1,1200,
1,,414,0,10500,1977,1,276,31,,,
1,,1419,520,62500,1977,1,58320,0,1,3600,
1,,0,0,2500,1977,1,0,0,1,,
1,,700,300,18750,1977,1,1200,0,1,1200,
1,,0,0,10500,1977,0,0,0,,,
1,,2000,2000,10500,1977,1,900,40,1,480,40
1,,1320,1120,13750,1977,1,60,5,1,60,5
1,,0,0,6750,1977,1,0,0,1,,
1,,600,0,27500,1977,1,852,0,1,312,
1,,0,0,8250,1977,0,0,0,,,
1,,0,0,2500,1977,1,240,0,1,,
1,,350,0,,1977,1,2400,0,1,2400,
1,,700,0,27500,1977,1,216,500,1,,100
1,,0,0,23750,1977,1,840,0,1,600,
1,,147,0,,1977,1,300,0,1,300,
1,,0,0,,1977,,0,0,,,
1,,0,0,13750,1977,1,0,0,1,,
1,,1000,0,,1977,0,0,0,,,
1,,0,0,3500,1977,0,0,0,,,
1,,0,0,11750,1977,0,0,0,,,
1,,0,0,,1977,1,120,0,,,
1,,0,0,,1977,1,0,0,,,
1,,0,0,,1977,0,0,0,,,
1,,400,400,10500,1977,0,0,0,,,
1,,0,0,27500,1977,1,0,0,,,
1,,189,189,8250,1977,0,0,0,,,
1,,730,0,18750,1977,1,0,0,1,,
1,,190,0,6750,1977,1,84,56,1,84,56
1,,2392,300,16250,1977,1,3072,525,1,1068,525
1,,0,0,8250,1977,0,0,0,,,
1,,0,0,16250,1977,1,0,3,1,,3
1,,0,0,18750,1977,1,3816,5950,1,,5000
1,,380,0,11750,1977,0,0,0,,,
1,,0,0,,1977,0,0,0,,,
1,,266,0,16250,1977,1,0,50,,,
1,,0,0,1000,1977,0,0,0,,,
1,,1759,759,11750,1977,1,2340,245,1,720,60
1,,250,0,13750,1977,1,1380,75,1,300,25
1,,200,200,,1977,0,0,0,,,
1,,0,0,18750,1977,0,0,0,,,
1,,0,0,16250,1977,0,0,0,,,
1,,1824,0,37500,1977,1,0,0,1,,
1,,200,200,27500,1977,1,1800,0,1,1800,
1,,300,0,27500,1977,1,0,350,1,,350
1,,100,0,13750,1977,1,984,120,1,984,120
1,,649,449,3500,1977,1,480,400,1,480,400
1,,0,0,8250,1977,0,0,0,,,
1,,560,0,1000,1977,1,0,0,1,,
1,,0,0,8250,1977,1,240,250,1,240,250
1,,950,0,11750,1977,1,600,50,1,,
1,,200,0,10500,1977,1,900,105,1,660,105
1,,200,200,9500,1977,1,0,0,1,,
1,,0,0,5500,1977,0,0,0,,,
1,,650,0,,1977,1,0,50,1,,50
