weight,psu2,hh_size,age_category,race,gender,ar_bor,mortgage_bor,installment_debt,better_off,auto,auto_bor,bank_auto_bor,durable,durable_bor,bank_durable_bor,item_name,refrigerator,washing_machine,radio,cook_stove,durable_price,payment_method,credit_use,income,year,loc_type,refrigerator_credit_use,radio_credit_use,freezer,television,television_credit_use,washing_machine_credit_use,dishwasher,clothes_dryer,credit_good,age_category2,cook_stove_credit_use,item_code1,item_code2,item_code3,item_code4,item_code5,item_code6,item_code_a1,item_code_a2,item_code_a3,code_string,code_a_string,psu,age,air_conditioner,sewing_machine,psu3,bw_television,color_television,bw_television_credit_use,bw_television_price,color_television_credit_use,color_television_price,refrigerator_price,washing_machine_price,cook_stove_price,clothes_dryer_credit_use,clothes_dryer_price,dishwasher_credit_use,dishwasher_price,air_conditioner_credit_use,air_conditioner_price,state
457,40,2,1,1,1,0,0,0,0,0,0,0,650,520,0,Other,0,0,0,1,65,1,1,2200,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IL
493,46,1,4,1,1,0,0,0,0,0,0,0,140,112,0,Other,0,0,0,1,14,1,1,2400,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA
239,54,2,2,1,1,0,0,0,-1,1200,0,0,170,0,0,Furniture,0,0,0,1,17,4,0,4600,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO
398,53,3,4,1,1,0,0,0,1,0,0,0,500,0,0,Other,0,0,0,1,50,4,0,2000,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO
124,56,1,4,1,2,0,0,100,1,0,0,0,200,90,0,Refrigerator,1,0,0,0,20,2,1,1100,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY
124,56,3,4,1,1,0,0,0,1,0,0,0,170,0,0,Radio,0,0,1,0,17,4,0,4700,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY
239,32,6,2,1,1,0,200,100,0,0,0,0,70,56,0,Other,0,0,0,1,7,1,1,4000,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR
202,32,4,2,1,1,0,0,100,0,0,0,0,200,160,0,Refrigerator,1,0,0,0,20,1,1,2300,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR
457,33,1,2,1,1,0,0,0,-1,200,0,0,300,0,0,Other,0,0,0,1,30,4,0,1600,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA
398,53,7,3,1,1,0,0,0,0,0,0,0,50,0,0,Radio,0,0,1,0,5,4,0,1400,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO
457,52,7,3,2,2,0,0,0,-1,0,0,0,30,24,0,Radio,0,0,1,0,3,1,1,1200,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS
143,55,2,3,1,2,0,0,0,0,0,0,0,1000,800,0,Other,0,0,0,1,100,1,1,3600,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY
143,55,4,2,1,1,0,0,0,-1,0,0,0,100,0,0,Radio,0,0,1,0,10,4,0,4100,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY
457,50,3,4,1,1,0,0,0,1,0,0,0,40,0,0,Radio,0,0,1,0,4,4,0,2200,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MN
239,62,4,3,1,2,0,300,0,0,0,0,0,700,0,0,Other,0,0,0,1,70,4,0,3100,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH
143,59,2,4,1,1,0,700,0,1,0,0,0,500,0,0,Washing machine,0,1,0,1,50,4,0,10700,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH
239,51,2,-,1,2,0,0,100,0,0,0,0,40,32,0,Radio,0,0,1,0,4,1,1,3100,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS
239,59,3,4,1,1,70,0,0,0,600,0,0,110,88,0,Other,0,0,0,1,11,1,1,2900,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH
331,51,2,1,2,1,0,0,0,0,0,0,0,50,40,0,Radio,0,0,1,0,5,1,1,1800,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS
457,69,4,2,1,2,0,0,0,0,0,0,0,190,0,0,Refrigerator,1,0,0,0,19,4,0,2400,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA
398,79,5,4,1,1,130,0,100,-1,0,0,0,200,160,0,Other,0,0,0,1,20,1,1,3300,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA
398,75,4,3,1,1,0,0,0,0,0,0,0,500,0,0,Radio,0,0,1,0,50,4,0,2600,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX
493,13,3,3,1,1,0,0,0,1,0,0,0,30,0,0,Refrigerator,1,0,0,0,3,4,0,4700,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IL
143,20,3,-,1,1,0,0,0,-1,0,0,0,110,0,0,Radio,0,0,1,0,11,4,0,4500,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO
202,37,2,4,1,1,0,0,0,-1,0,0,0,30,0,0,Radio,0,0,1,0,3,4,0,700,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL
239,37,1,4,1,2,0,0,0,1,0,0,0,60,0,0,Other,0,0,0,1,6,4,0,2000,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL
202,37,7,3,1,2,150,0,100,0,0,0,0,100,80,0,Washing machine,0,1,0,0,10,1,1,2800,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL
398,31,4,2,1,1,400,0,0,1,0,0,0,50,0,0,Radio,0,0,1,0,5,4,0,1800,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL
398,31,2,1,1,1,0,0,0,1,0,0,0,10,0,0,Other,0,0,0,1,1,4,0,600,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL
398,31,6,2,1,1,0,0,0,0,0,0,0,150,67.5,0,Refrigerator,1,0,0,0,15,2,1,1200,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL
398,31,1,4,1,2,0,0,100,1,0,0,0,140,21,0,Furniture,0,0,0,1,14,3,1,600,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL
493,46,2,4,2,1,0,0,0,0,0,0,0,150,0,0,Radio,0,0,1,0,15,4,0,1600,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA
493,60,3,2,2,2,0,0,100,1,0,0,0,150,120,0,Other,0,0,0,1,15,1,1,2000,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH
493,60,5,2,1,2,100,0,0,-1,0,0,0,10,0,0,Washing machine,0,1,0,0,1,4,0,2100,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH
124,56,6,3,1,1,0,0,0,-1,0,0,0,550,0,0,Washing machine,0,1,0,0,55,4,0,3800,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY
239,57,3,3,1,2,0,0,0,0,1800,0,0,120,0,0,Radio,0,0,1,0,12,4,0,4100,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY
398,52,3,3,2,2,0,0,0,1,0,0,0,30,24,0,Other,0,0,0,1,3,1,1,1800,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS
493,59,2,2,1,1,0,0,0,-1,0,0,0,50,0,0,Radio,0,0,1,0,5,4,0,900,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH
605,59,2,1,1,1,0,0,0,1,0,0,0,150,0,0,Radio,0,0,1,0,15,4,0,3700,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH
239,50,1,4,1,2,0,0,0,-1,0,0,0,30,0,0,Radio,0,0,1,0,3,4,0,400,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MN
398,53,3,2,1,1,0,0,0,1,0,0,0,1200,0,0,Refrigerator,1,0,0,0,120,4,0,3400,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO
457,69,4,3,1,2,0,0,100,1,0,0,0,60,48,0,Other,0,0,0,1,6,1,1,4500,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA
398,74,5,3,1,2,0,0,0,-1,0,0,0,60,0,0,Radio,0,0,1,0,6,4,0,0,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX
239,70,2,-,-,-,0,0,0,1,0,0,0,1000,0,0,Refrigerator,1,0,0,0,100,4,0,4600,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC
239,22,1,4,1,2,0,0,0,1,0,0,0,80,36,0,Radio,0,0,1,0,8,2,1,2700,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC
239,13,4,2,1,1,0,0,0,1,700,315,0,150,0,0,Radio,1,0,1,0,15,4,0,3400,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IL
493,17,3,2,1,1,0,0,0,1,400,0,0,150,0,0,Washing machine,0,1,0,0,15,4,0,3900,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY
239,17,2,2,1,1,100,0,100,0,0,0,0,360,0,0,Radio,0,0,1,1,36,4,0,3600,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY
493,17,4,3,1,1,0,0,100,-1,0,0,0,90,72,0,Other,0,0,0,1,9,1,1,3000,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY
239,17,2,3,1,1,0,0,750,1,1500,0,750,20,0,10,Other,0,0,0,1,2,4,0,4500,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY
