gvkey,sic,home_state,treatment_discrete,treatment_z,ismatched,ni_77,ni_83,rev_77,rev_83,sic_2dig,profit_growth,rev_growth,markup_77,markup_83,markup_growth,profit_growth_w,rev_growth_w,markup_growth_w
5235,5944,TX,0,-0.095440269303785,0,3.621,4.95625,56.47225,118.71325,59,-0.97635564370111,0.10215194188296,0.0641199881357658,0.0417497625580969,-0.0223702255776689,-0.109101281859661,0.0163428705645456,-0.00372837092961148
5259,5531,CO,0,-0.095440269303785,1,0.17725,1.27225,18.813,34.87575,55,-0.941795566895232,-0.14618880561314,0.00942167650029235,0.0364795022329269,0.0270578257326345,-0.109101281859661,-0.0259969710914416,0.00450963762210576
5260,5331,UT,0,-0.095440269303785,1,0.95075,-0.42525,39.725,55.96025,53,-1.0346381371932,-0.591308999370673,0.0239332913782253,-0.00759914403527504,-0.0315324354135003,-0.109101281859661,-0.109101281859661,-0.00525540590225006
5285,5912,OH,0,-2.10556168169058,1,1.54325,,89.449,,59,-1,-1,0.017252847991593,0,-0.017252847991593,-0.109101281859661,-0.109101281859661,-0.0028754746652655
5301,5411,NJ,1,0.918612592048929,1,0.14225,11.88775,1822.14425,1305.5025,54,-0.993554022959488,-1.28353504394616,7.80673648642252e-05,0.00910588068578957,0.00902781332092535,-0.109101281859661,-0.109101281859661,0.00150463555348756
5334,5945,NY,0,-0.095440269303785,0,0.05425,0.881,17.71,29.32575,59,-0.953317334839074,-0.344113495200452,0.00306324110671937,0.0300418574120014,0.026978616305282,-0.109101281859661,-0.0678808098041392,0.00449643605088034
5413,5331,CA,1,1.93266545340164,1,1.9045,0.46525,61.238,102.51775,53,-1.0235025637676,-0.32591283190176,0.0310999706064862,0.00453823850016217,-0.026561732106324,-0.109101281859661,-0.0636188193778945,-0.004426955351054
5465,5411,ME,0,-0.102678334278657,1,0.77375,2.41075,86.162,156.085,54,-0.981000905271465,-0.188470555465286,0.00898017687611708,0.0154451100361982,0.00646493316008115,-0.109101281859661,-0.0342070141525461,0.00107748886001352
5513,5731,NJ,1,0.918612592048929,0,0.21175,-0.1855,10.304,7.05225,57,-1.03855298913043,-1.31558132763975,0.0205502717391304,-0.0263036619518593,-0.0468539336909898,-0.109101281859661,-0.109101281859661,-0.00780898894849829
5602,5311,PA,1,0.918612592048929,1,0.764,,30.0175,,53,-1,-1,0.0254518197717998,0,-0.0254518197717998,-0.109101281859661,-0.109101281859661,-0.00424196996196663
5722,5812,MD,0,-0.0954402693037851,1,2.646,,65.73175,,58,-1,-1,0.0402545193152472,0,-0.0402545193152472,-0.109101281859661,-0.109101281859661,-0.0067090865525412
5729,5940,CA,0,-0.095440269303785,1,1.68475,2.4195,34.564,59.90625,59,-0.978742333063303,-0.266802164101377,0.0487429117000347,0.0403881064162754,-0.00835480528375929,-0.109101281859661,-0.0504084039995482,-0.00139246754729321
5732,5990,IL,0,-1.2270095352656,1,0.0345,,9.408,,59,-1,-1,0.00366709183673469,0,-0.00366709183673469,-0.109101281859661,-0.109101281859661,-0.000611181972789116
6108,5812,MA,0,-0.095440269303785,0,0.98125,-0.16675,14.33775,23.8765,58,-1.08006835103137,-0.334710815853255,0.0684382138062109,-0.00698385441752351,-0.0754220682237344,-0.109101281859661,-0.0656668800933914,-0.0125703447039557
6179,5990,NJ,1,0.918612592048929,0,0.6655,1.62775,32.643,42.6715,59,-0.970522010844591,-0.69278252611586,0.0203872193119505,0.0381460693905768,0.0177588500786264,-0.109101281859661,-0.109101281859661,0.00295980834643773
6206,5311,IL,0,-1.31230370292704,0,0.03525,7.421,72.64425,6.11925,53,-0.898329874697584,-1.91576415201478,0.000485241433423843,1.21273031825796,1.21224507682453,-0.109101281859661,-0.109101281859661,0.0833333333333333
6229,5331,NJ,1,0.918612592048929,1,1.22625,2.87725,41.82575,104.19325,53,-0.960526709024943,0.491126877581394,0.029318063633049,0.0276145527661341,-0.00170351086691493,-0.109101281859661,0.0688557545135087,-0.000283918477819156
6260,5411,ID,0,-1.31200957351905,1,6.6465,20.76325,819.4355,1430.8805,54,-0.982772591619475,-0.253821685782469,0.00811107158525595,0.0145108204353893,0.00639974885013331,-0.109101281859661,-0.0476269357170097,0.00106662480835555
6303,5331,MA,0,-0.095440269303785,1,3.98875,,115.66,,53,-1,-1,0.0344868580321632,0,-0.0344868580321632,-0.109101281859661,-0.109101281859661,-0.00574780967202721
6307,5311,IL,0,-1.31230370292704,0,75.72975,123.075,2516.11425,4710.22475,53,-0.98118318752815,-0.127976601221506,0.0300978979789968,0.0261293264190844,-0.00396857155991243,-0.109101281859661,-0.0225646919430643,-0.000661428593318738
6400,5621,GA,0,-0.095440269303785,1,0.20075,0.1275,4.38425,6.894,56,-1.01670753264526,-0.427553173290757,0.0457889034612534,0.0184943429068755,-0.0272945605543778,-0.109101281859661,-0.0887815063830615,-0.00454909342572963
6502,5411,OH,0,-2.12354599200921,0,15.1615,31.76975,1686.88825,3809.001,54,-0.990154504899776,0.258004346168159,0.0089878508549692,0.00834070403236964,-0.000647146822599559,-0.109101281859661,0.0389955566209574,-0.000107857803766593
6508,5331,TN,0,-0.095440269303785,0,0.9385,,68.9545,,53,-1,-1,0.0136104242652764,0,-0.0136104242652764,-0.109101281859661,-0.109101281859661,-0.00226840404421273
6553,5731,NY,0,-0.095440269303785,1,-0.90525,,22.10975,,57,-1,-1,-0.0409434751636721,0,0.0409434751636721,-0.109101281859661,-0.109101281859661,0.00682391252727869
6583,5621,OH,0,-0.10125910246594,1,2.50075,,83.26,,56,-1,-1,0.0300354311794379,0,-0.0300354311794379,-0.109101281859661,-0.109101281859661,-0.00500590519657298
6733,5990,OH,0,-2.12354599200921,0,2.08025,17.73475,29.2565,271.4725,59,-0.464922324953429,7.27904910019996,0.0711038572624887,0.0653279798137933,-0.0057758774486954,-0.098976457670517,0.069913193933663,-0.000962646241449233
6753,5945,NJ,0.271450860043682,0.179825252040166,1,0.833,-1.71375,37.58425,73.9395,59,-1.067761096736,-0.032699867630723,0.0221635392484884,-0.0231777331466943,-0.0453412723951827,-0.109101281859661,-0.00552575271162437,-0.00755687873253044
6780,5621,NY,0,-0.095440269303785,1,0.865,,26.091,,56,-1,-1,0.0331531945881722,0,-0.0331531945881722,-0.109101281859661,-0.109101281859661,-0.00552553243136203
6802,5912,MD,0,-0.095440269303785,1,4.8955,9.09675,137.664,303.61,59,-0.96948185437006,0.205442236169223,0.0355612215248722,0.0299619577747769,-0.0055992637500953,-0.109101281859661,0.0316310396662898,-0.000933210625015883
6829,5211,NC,0,-0.095440269303785,1,6.17325,12.65375,165.40625,357.644,52,-0.960820706593614,0.162215756659739,0.0373217457018704,0.0353808535862478,-0.00194089211562262,-0.109101281859661,0.0253712269921371,-0.000323482019270437
6834,5411,CA,0,-0.095440269303785,0,16.61875,26.35,1008.84225,2097.03825,54,-0.99035404197237,0.0786582342283939,0.0164730908127609,0.0125653406655792,-0.00390775014718168,-0.109101281859661,0.0126996126248651,-0.000651291691196947
6914,5960,CT,1,0.918612592048929,0,0.97425,,49.302,,59,-1,-1,0.0197608616283315,0,-0.0197608616283315,-0.109101281859661,-0.109101281859661,-0.00329347693805525
6915,5331,NC,0,-0.0954402693037851,1,0.332,,11.027,,53,-1,-1,0.030107916931169,0,-0.030107916931169,-0.109101281859661,-0.109101281859661,-0.00501798615519483
6928,5311,NY,5.9021552318124e-05,-0.0953804183297754,1,13.1985,46.6695,415.171,867.036,53,-0.919380207191735,0.0883828591110654,0.0317905152334821,0.0538264847134375,0.0220359694799554,-0.109101281859661,0.0142155905419714,0.00367266157999257
7068,5311,MN,0,-1.31230370292704,1,3.97075,,165.66475,,53,-1,-1,0.0239685871617227,0,-0.0239685871617227,-0.109101281859661,-0.109101281859661,-0.00399476452695378
7105,5600,NY,0,-0.095440269303785,1,-0.05,,19.6375,,56,-1,-1,-0.00254614894971356,0,0.00254614894971356,-0.109101281859661,-0.109101281859661,0.000424358158285593
7127,5311,MO,0,-0.095440269303785,0,20.99075,46.75,568.26175,1047.725,53,-0.954670097010753,-0.156263376868142,0.0369385234885156,0.0446204872461762,0.0076819637576606,-0.109101281859661,-0.0279219199689197,0.00128032729294343
7154,5812,IL,0,-1.31230370292704,0,34.174,85.66,346.05175,750.28625,58,-0.85121878447371,0.1681330899208,0.0987540158372267,0.114169758542156,0.0154157427049298,-0.109101281859661,0.0262394868166156,0.00256929045082163
7195,5944,PA,0,-1.1094931306565,1,0.0502499999999999,-0.0233333333333333,12.0225,1.06433333333333,59,-1.00612046856588,-1.91147154640604,0.00417966313162819,-0.0219229564672722,-0.0261026195989004,-0.109101281859661,-0.109101281859661,-0.00435043659981673
7254,5311,OH,0.00719128816336553,-0.161071387367692,1,7.81325,20.8055,197.30425,406.4895,53,-0.934151190357025,0.0602166451052117,0.0396000086161347,0.0511833638999285,0.0115833552837938,-0.109101281859661,0.00979318736679513,0.00193055921396564
7407,5621,NJ,1,0.918612592048929,1,2.95425,4.1325,31.88375,59.191,56,-0.963045438507076,-0.143537068255773,0.0926569177088642,0.0698163572164687,-0.0228405604923955,-0.109101281859661,-0.0254934514524775,-0.00380676008206592
7485,5399,MN,1,1.93266545340164,0,2.86075,,83.5965,,53,-1,-1,0.0342209303021059,0,-0.0342209303021059,-0.109101281859661,-0.109101281859661,-0.00570348838368432
7566,5812,TN,0,-0.095440269303785,1,2.97775,5.1355,54.37275,116.1165,58,-0.960315599266177,0.13556423024401,0.0547654845487859,0.0442271339559839,-0.0105383505928021,-0.109101281859661,0.0214143397361091,-0.00175639176546701
7570,5661,MA,0,-0.095440269303785,1,2.9295,4.79525,71.09425,130.741,56,-0.973756668084972,-0.161018647780939,0.0412058640466704,0.0366774768435303,-0.00452838720314011,-0.109101281859661,-0.0288371714667669,-0.000754731200523352
7573,5661,MA,0,-0.095440269303785,0,0.0905,,21.5185,,56,-1,-1,0.00420568348165532,0,-0.00420568348165532,-0.109101281859661,-0.109101281859661,-0.000700947246942554
7616,5412,GA,0,-0.095440269303785,1,-0.2625,1.8775,58.3945,98.94875,54,-0.963352713012356,-0.305512505458562,-0.00449528637114797,0.0189744691064819,0.0234697554776299,-0.109101281859661,-0.0589542485639464,0.00391162591293831
7618,5331,PA,1,0.918612592048929,1,2.0735,4.602,166.177,218.03775,53,-0.984784296262419,-0.687918604861082,0.0124776593632091,0.0211064368440786,0.0086287774808695,-0.109101281859661,-0.109101281859661,0.00143812958014492
7720,5412,TX,0,-0.095440269303785,1,0.884,3.5565,58.302,158.0775,54,-0.954161092243834,0.711356385715756,0.0151624301053137,0.0224984580348247,0.00733602792951098,-0.109101281859661,0.069913193933663,0.00122267132158516
7758,5961,CA,0,-0.095440269303785,0,-0.674,0.42275,5.504,4.776,59,-0.800735828488372,-1.13226744186047,-0.122456395348837,0.0885154941373534,0.210971889486191,-0.109101281859661,-0.109101281859661,0.0351619815810318
7780,5411,IL,0.00327510924847162,-1.19805670050086,1,2.8645,,208.901,,54,-1,-1,0.0137122368969033,0,-0.0137122368969033,-0.109101281859661,-0.109101281859661,-0.00228537281615055
7853,5961,PA,1,0.918612592048929,1,2.03,4.059,48.322,67.0715,59,-0.958010843922023,-0.61198832829767,0.0420098505856546,0.0605175074360943,0.0185076568504398,-0.109101281859661,-0.109101281859661,0.00308460947507329
7891,5411,NY,0,-0.095440269303785,1,1.82175,2.1285,87.7205,163.644,54,-0.996503097907559,-0.134483957569781,0.0207676654829829,0.0130068930116595,-0.00776077247132343,-0.109101281859661,-0.0237841522267575,-0.00129346207855391
7922,5651,WA,1,1.93266545340164,1,2.92425,10.05975,79.74,196.9735,56,-0.910515425131678,0.47019688989215,0.0366723100075245,0.0510715908485152,0.0143992808409907,-0.109101281859661,0.0663405305261455,0.00239988014016512
8306,5331,NE,0.015421256262864,-0.0930076969505929,1,1.44575,,73.74175,,53,-1,-1,0.0196055829974201,0,-0.0196055829974201,-0.109101281859661,-0.109101281859661,-0.00326759716623667
8343,5900,MD,0.00344287950172144,-0.0919490074937718,1,1.7875,2.08866666666667,37.3015,59.864,59,-0.991926151316524,-0.395131563073871,0.0479203249199094,0.0348901955543677,-0.0130301293655417,-0.109101281859661,-0.0803763027777178,-0.00217168822759029
8398,5912,OR,1,1.93266545340164,1,2.0845,6.18025,74.5765,213.23425,59,-0.945079884413991,0.859268670425671,0.0279511642407461,0.0289833832979458,0.00103221905719973,-0.109101281859661,0.069913193933663,0.000172036509533288
8400,5912,WA,1,1.79171268791233,1,3.79825,7.526,137.345,305.13025,59,-0.972858495030762,0.221633477738542,0.0276548108777167,0.0246648767206791,-0.00298993415703758,-0.109101281859661,0.033927660936397,-0.000498322359506263
8439,5411,NY,1,0.918612592048929,1,1.11925,1.6005,71.48775,129.7245,54,-0.993268077397876,-0.185360428884669,0.015656528566083,0.012337684862921,-0.00331884370316196,-0.109101281859661,-0.0335911085605841,-0.00055314061719366
8446,5311,TX,0,-0.095440269303785,0,73.625,116.75,2342.17575,3019.5,53,-0.981587632781186,-0.710814079600987,0.031434447222844,0.0386653419440305,0.0072308947211865,-0.109101281859661,-0.109101281859661,0.00120514912019775
