,index,url_title,url,title,numbers,year,yellow,inrange,include,pages
937,938,"https://www.loc.gov/resource/usteledirec.usteledirec00938:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00938,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1958  | Library of Congress</title>
","['1', '1958']",1958.0,1,1,1,979
938,939,"https://www.loc.gov/resource/usteledirec.usteledirec00939:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00939,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1959  | Library of Congress</title>
","['1', '1959']",1959.0,1,1,1,511
939,940,"https://www.loc.gov/resource/usteledirec.usteledirec00940:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1960  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00940,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1960  | Library of Congress</title>
","['1', '1960']",1960.0,1,1,1,639
940,941,"https://www.loc.gov/resource/usteledirec.usteledirec00941:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00941,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1961  | Library of Congress</title>
","['1', '1961']",1961.0,1,1,1,590
941,942,"https://www.loc.gov/resource/usteledirec.usteledirec00942:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00942,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1962  | Library of Congress</title>
","['1', '1962']",1962.0,1,1,1,655
967,968,"https://www.loc.gov/resource/usteledirec.usteledirec00968:<title>Image 1 of Arizona - White Pages and Yellow Pages - Tucson - March 1951 thru April 1952  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00968,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Tucson - March 1951 thru April 1952  | Library of Congress</title>
","['1', '1951', '1952']",1951.0,1,1,1,591
968,969,"https://www.loc.gov/resource/usteledirec.usteledirec00969:<title>Image 1 of Arizona - White Pages and Yellow Pages - Tucson - October 1952 thru Fall 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00969,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Tucson - October 1952 thru Fall 1953  | Library of Congress</title>
","['1', '1952', '1953']",1952.0,1,1,1,487
969,970,"https://www.loc.gov/resource/usteledirec.usteledirec00970:<title>Image 1 of Arizona - White Pages and Yellow Pages - Tucson - Spring 1954 thru Fall 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00970,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Tucson - Spring 1954 thru Fall 1954  | Library of Congress</title>
","['1', '1954', '1954']",1954.0,1,1,1,497
970,971,"https://www.loc.gov/resource/usteledirec.usteledirec00971:<title>Image 1 of Arizona - White Pages and Yellow Pages - Tucson - July 1955 thru February 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00971,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Tucson - July 1955 thru February 1956  | Library of Congress</title>
","['1', '1955', '1956']",1955.0,1,1,1,551
971,972,"https://www.loc.gov/resource/usteledirec.usteledirec00972:<title>Image 1 of Arizona - White Pages and Yellow Pages - Tucson - September 1956 thru October 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00972,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Tucson - September 1956 thru October 1957  | Library of Congress</title>
","['1', '1956', '1957']",1956.0,1,1,1,529
