NAME,state,r_90,r_77,r_change,st,ever_nolimit,year,r_usury,nolimit
Idaho,ID,30,18,12,16,1,1990,30,1
Idaho,ID,30,18,12,16,1,1979,18,0
Idaho,ID,30,18,12,16,1,1986,30,1
Idaho,ID,30,18,12,16,1,1982,21,0
Idaho,ID,30,18,12,16,1,1984,30,1
Idaho,ID,30,18,12,16,1,1988,30,1
Idaho,ID,30,18,12,16,1,1975,18,0
Idaho,ID,30,18,12,16,1,1973,18,0
Idaho,ID,30,18,12,16,1,1987,30,1
Idaho,ID,30,18,12,16,1,1978,18,0
Idaho,ID,30,18,12,16,1,1985,30,1
Idaho,ID,30,18,12,16,1,1983,30,1
Idaho,ID,30,18,12,16,1,1989,30,1
Idaho,ID,30,18,12,16,1,1977,18,0
Illinois,IL,30,21.6,8.3999996,17,1,1988,30,1
Illinois,IL,30,21.6,8.3999996,17,1,1982,30,1
Illinois,IL,30,21.6,8.3999996,17,1,1975,21.6,0
Illinois,IL,30,21.6,8.3999996,17,1,1980,21.6,0
Illinois,IL,30,21.6,8.3999996,17,1,1977,21.6,0
Illinois,IL,30,21.6,8.3999996,17,1,1974,21.6,0
Illinois,IL,30,21.6,8.3999996,17,1,1986,30,1
Illinois,IL,30,21.6,8.3999996,17,1,1972,21.6,0
Illinois,IL,30,21.6,8.3999996,17,1,1987,30,1
Illinois,IL,30,21.6,8.3999996,17,1,1971,21.6,0
Illinois,IL,30,21.6,8.3999996,17,1,1979,21.6,0
Illinois,IL,30,21.6,8.3999996,17,1,1973,21.6,0
Illinois,IL,30,21.6,8.3999996,17,1,1983,30,1
Illinois,IL,30,21.6,8.3999996,17,1,1989,30,1
Illinois,IL,30,21.6,8.3999996,17,1,1984,30,1
Illinois,IL,30,21.6,8.3999996,17,1,1985,30,1
Illinois,IL,30,21.6,8.3999996,17,1,1990,30,1
Illinois,IL,30,21.6,8.3999996,17,1,1981,21.6,0
Illinois,IL,30,21.6,8.3999996,17,1,1976,21.6,0
Indiana,IN,21,18,3,18,0,1985,21,0
Indiana,IN,21,18,3,18,0,1974,18,0
Indiana,IN,21,18,3,18,0,1976,18,0
Indiana,IN,21,18,3,18,0,1973,18,0
Indiana,IN,21,18,3,18,0,1975,18,0
Indiana,IN,21,18,3,18,0,1979,18,0
Indiana,IN,21,18,3,18,0,1982,18,0
Indiana,IN,21,18,3,18,0,1986,21,0
Indiana,IN,21,18,3,18,0,1980,18,0
Indiana,IN,21,18,3,18,0,1983,21,0
Indiana,IN,21,18,3,18,0,1972,18,0
Indiana,IN,21,18,3,18,0,1981,18,0
Indiana,IN,21,18,3,18,0,1987,21,0
Indiana,IN,21,18,3,18,0,1988,21,0
Indiana,IN,21,18,3,18,0,1989,21,0
Indiana,IN,21,18,3,18,0,1984,21,0
Indiana,IN,21,18,3,18,0,1977,18,0
Indiana,IN,21,18,3,18,0,1978,18,0
Kansas,KS,21,21,0,20,0,1984,21,0
Kansas,KS,21,21,0,20,0,1971,21,0
Kansas,KS,21,21,0,20,0,1980,21,0
Kansas,KS,21,21,0,20,0,1986,21,0
Kansas,KS,21,21,0,20,0,1977,21,0
Kansas,KS,21,21,0,20,0,1988,21,0
Kansas,KS,21,21,0,20,0,1974,21,0
Kansas,KS,21,21,0,20,0,1987,21,0
Kansas,KS,21,21,0,20,0,1972,21,0
Kansas,KS,21,21,0,20,0,1990,21,0
Kansas,KS,21,21,0,20,0,1983,21,0
Kansas,KS,21,21,0,20,0,1976,21,0
Kansas,KS,21,21,0,20,0,1979,21,0
Kansas,KS,21,21,0,20,0,1989,21,0
Kansas,KS,21,21,0,20,0,1978,21,0
Kansas,KS,21,21,0,20,0,1985,21,0
Kansas,KS,21,21,0,20,0,1982,21,0
Kansas,KS,21,21,0,20,0,1981,21,0
