year,state,RSSDID,losses,ci.loans,ci.losses,cards,card.losses,loans,card.loss.rate,banks,card.issuers,state_name,fipstate,r_90,r_77,r_change,ever_nolimit,r_usury,nolimit,e1_4,e5_9,e10_19,e20_49,e50_99,e100_249,e250_499,e500_999,e1000,emp,emp.small,emp.mid,emp.lg,emp.small.frac,emp.mid.frac,emp.lg.frac,tax,corp.lic.tax,lic.tax,corp.inc.tax,interest,sa,loc.tax,loc.corp.lic.tax,loc.lic.tax,loc.corp.inc.tax,loc.interest,loc.sa
1977,SC,43365055,9604.5,810263.25,0,94829.0833333333,0,2994381.75,0,89,36,South Carolina,45,,,,0,18,0,230164,278259,329371,420206,297014,394277,336854,385481,349842,3021468,837794,1111497,1072177,0.277280447782336,0.367866546989741,0.354853005227922,1187589,3807,56939,106601,32782,79,1578250,3807,56940,106601,50451,2783
1977,SD,52670343,2364.75,466271.5,0,2107.75,0,2218177,0,158,13,South Dakota,46,30,12,18,1,12,0,69862,82381,95808,116879,65159,38307,14533,15718,5989,504636,248051,220345,36240,0.491544400320231,0.436641460379363,0.0718141393004066,200115,261,17514,2504,21002,0,432840,261,25435,2504,30162,2699
1977,TN,171123982,44648.25,2582303.16666667,0,193845.75,0,9975636.58333333,0,351,42,Tennessee,47,21,18,3,0,18,0,353570,418210,547922,772030,509250,716370,521275,387695,448636,4674958,1319702,1997650,1357606,0.282291733957824,0.427308651756871,0.290399614285305,1529531,33969,156017,156042,47986,0,2425132,33969,176113,156042,98859,7960
1977,TX,721188084,105450.5,13449474,0,564214.083333333,0,34156850.8333333,0,1382,234,Texas,48,18,18,0,0,18,0,1233086,1432304,1836555,2827521,1929839,2294831,1241008,996944,1610687,15402775,4501945,7052191,3848639,0.292281423314955,0.457851977971502,0.249866598713544,4750065,236612,552427,0,271207,0,8180868,236612,593044,0,479602,32953
1977,UT,43832508,7172.25,887600.166666667,0,88260.9166666667,0,2888532.91666667,0,74,31,Utah,49,30,18,12,1,18,0,105697,141095,177589,251226,129021,160045,64502,33464,61708,1124347,424381,540292,159674,0.377446642362189,0.480538481447454,0.142014876190358,531276,0,26002,24866,16473,2213,828237,0,26007,24866,30954,5709
1977,VA,148271885,29800.5,2499522.83333333,0,479144,0,10893066.0833333,0,285,114,Virginia,51,30,18,12,1,18,0,385541,520136,659693,938603,609679,677151,432166,327498,505212,5055679,1565370,2225433,1264876,0.30962606605364,0.440184790213144,0.250189143733216,2053823,5560,128849,159152,55431,0,3468133,5560,167759,159152,105010,4910
1977,VT,12401872,2740,229992,0,17085.25,0,1459357.75,0,37,12,Vermont,50,18,18,0,0,18,0,51348,55435,63764,82379,46913,58621,27072,20092,13152,418776,170547,187913,60316,0.407251131870021,0.448719601887405,0.144029266242574,229803,144,23042,16900,12439,0,389039,144,23042,16900,15294,220
1977,WA,49794570,15600.75,3690361.75,0,292621.75,0,10004224.75,0,106,26,Washington,53,18,12,6,0,12,0,351156,447210,506583,767032,444242,433211,253152,171128,371242,3744956,1304949,1644485,795522,0.348455095333563,0.439119978979726,0.21242492568671,2100035,3695,119676,0,42922,0,3006833,3695,123943,0,190170,25197
1977,WI,286017815,17772.25,2969127.25,0,212649.75,0,11833740.5,0,634,390,Wisconsin,55,30,18,12,1,18,0,353382,511619,640423,941552,641880,766787,467299,470808,596847,5390597,1505424,2350219,1534954,0.279268511446877,0.435984919666597,0.284746568886526,2733294,1752,133874,251657,76035,348,4057616,1752,133874,251657,145619,27037
1977,WV,146389936,6712,652954.75,0,38907,0,4059466.5,0,227,36,West Virginia,54,18,18,0,0,18,0,138253,163747,201891,275121,175541,192533,196883,152001,133696,1629666,503891,643195,482580,0.309198940150927,0.394679032390686,0.296122027458387,903413,3255,54733,23329,44870,0,1155908,3255,54755,23329,55586,1015
1977,WY,34033954,3484,386699.75,0,6409.25,0,1308050.83333333,0,82,25,Wyoming,56,21,18,3,0,18,0,46756,60473,72900,85967,42127,37373,19326,0,0,364922,180129,165467,19326,0.493609593282948,0.453431144189717,0.0529592625273346,233336,298,41164,0,22203,0,404362,298,41164,0,25600,2803
1978,AK,6683355,2247.5,370679.5,0,27231,0,1230736.75,0,14,5,Alaska,2,18,18,0,1,18,0,32441,47411,59843,76755,41638,46424,9959,8244,4936,327651,139695,164817,23139,0.426353040277612,0.503026085682632,0.0706208740397557,563485,797,31987,33504,80269,0,723609,797,32001,33504,91162,3074
1978,AL,135874260,34645.5,2382353.75,0,166575,0,8627604.5,0,313,46,Alabama,1,21,18,3,0,18,0,292404,386625,485632,681602,444130,561723,353607,273130,304055,3782908,1164661,1687455,930792,0.307874524043408,0.446073496897096,0.246051979059496,1588761,38504,106046,83161,44559,0,2051345,38504,113962,83161,74160,5907
1978,AR,124342307,13114.25,1286847.75,0,44897.25,0,5263879.75,0,260,16,Arkansas,5,17,10,7,0,10,0,181682,220359,289895,368414,224584,269344,235044,120834,107174,2017330,691936,862342,463052,0.342995940178355,0.427466998458358,0.229537061363287,926256,2515,70532,83528,21784,0,1132501,2515,70568,83528,31895,597
1978,AZ,10530870,20214.25,1493191.5,0,259109,0,6075147.16666667,0,20,14,Arizona,4,30,18,12,1,18,0,198050,292171,357992,501443,338395,319398,144719,102119,173757,2428044,848213,1159236,420595,0.349340044908577,0.477436158488067,0.173223796603356,1307338,1823,76659,63842,32428,0,2029107,1823,79073,63842,110527,18182
1978,CA,130844119,262451.25,27949092.5,0,3707707.08333333,0,88182889,0,251,198,California,6,19.2,18,1.2,1,18,0,2036310,2836820,3705982,5506694,4066861,4259947,2476390,1643710,3499814,30032528,8579112,13833502,7619914,0.285660667660078,0.460617301347392,0.253722030992529,15017677,4005,566524,2076270,531940,4428,26875671,4005,566524,2076270,1124578,152383
