gvkey,state,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,cusip,companyname,curcdq,datacqtr,datafqtr,atq,ltq,ncoq,recdq,rectq,rectrq,revtq,wcapq,xintq,cik,costat,county,sic,rec_to_assets,rec_to_rev,ultdunsno,dunsno,companyname_db,ultsls,state_db,sic_db,stateslspctak,stateslspctal,stateslspctar,stateslspctaz,stateslspctca,stateslspctco,stateslspctct,stateslspctdc,stateslspctde,stateslspctfl,stateslspctga,stateslspcthi,stateslspctia,stateslspctid,stateslspctil,stateslspctin,stateslspctks,stateslspctky,stateslspctla,stateslspctma,stateslspctmd,stateslspctme,stateslspctmi,stateslspctmn,stateslspctmo,stateslspctms,stateslspctmt,stateslspctnc,stateslspctnd,stateslspctne,stateslspctnh,stateslspctnj,stateslspctnm,stateslspctnv,stateslspctny,stateslspctoh,stateslspctok,stateslspctor,stateslspctpa,stateslspctri,stateslspctsc,stateslspctsd,stateslspcttn,stateslspcttx,stateslspctut,stateslspctva,stateslspctvt,stateslspctwa,stateslspctwi,stateslspctwv,stateslspctwy,_merge
2323,MI,19780430,1978,1,INDL,C,D,STD,6036B,099855108,BORMAN'S INC,USD,1978Q1,1978Q1,116.856,88.783997,,,13.25,,223.62601,8.7550001,.81400001,13290,I,,5411,.11338741,.059250712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
2436,MO,19780131,1978,1,INDL,C,D,STD,CAL,129500104,CALERES INC,USD,1977Q4,1978Q1,394.33301,164.86,,,86.938004,,232.216,218.69701,1.803,14707,A,,5661,.22046849,.37438419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
2479,TX,19771231,1978,1,INDL,C,D,STD,BGS.3,121232102,BURGESS INDS,USD,1977Q4,1978Q1,22.086,11.519,,,6.6440001,,9.2519999,12.192,.090999998,,I,Dallas,5084,.30082405,.71811503,007322266,30164347,BURGESS INDUSTRIES INC,38900000,TX,3599,,,0,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,Matched (3)
2542,IL,19771231,1978,1,INDL,C,D,STD,CFSC.,125256107,CFS CONTINENTAL INC,USD,1977Q4,1978Q1,189.05701,116.564,,,61.276001,,194.521,66.549004,2.0580001,19028,I,,5140,.32411391,.31500968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
2611,CT,19780430,1978,1,INDL,C,D,STD,CA.4,128793106,CALDOR INC,USD,1978Q1,1978Q1,188.534,133.13499,,,6.336,,87.393997,49.811001,1.647,16226,I,Fairfield,5331,.033606671,.072499253,006819270,64827983,CALDOR INC,428000000,CT,5311,,,,,,,.92056078,,,,,,,,,,,,,0,,,,,,,,,,,,.046728972,,,.03271028,,,,,,,,,,,,,,,,,Matched (3)
2791,NY,19780831,1978,1,INDL,C,D,STD,TAST1,145744009,CARROLS CORP,USD,1978Q3,1978Q1,43.025002,38.52,,,.50700003,,18.524,-5.625,.69800001,17927,I,,5812,.011783847,.027369898,048552129,91965673,CARROLS DEVELOPMENT CORP,54100000,NY,7832,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,,Matched (3)
2792,IL,19780430,1978,1,INDL,C,D,STD,CRN.1,146016100,CARSON PIRIE SCOTT,USD,1978Q1,1978Q1,221.83501,133.24001,,,59.818001,,86.968002,55.877998,1.541,823878,I,Cook,5311,.26965088,.6878162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
2796,OH,19780430,1978,1,INDL,C,D,STD,BWY.1,111572103,BROADWAY STORES INC,USD,1978Q1,1978Q1,1155.949,670.50403,,,153.186,,375.47299,326.67999,9.9510002,750217,I,,5311,.13251969,.4079814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
2811,IL,19780331,1978,1,INDL,C,D,STD,CTAM,148411408,CASTLE (A M) & CO,USD,1978Q1,1978Q1,86.091003,51.07,,,28.43,,58.944,34.528,.56999999,18172,A,,5051,.33023196,.48232222,006934004,42076216,CASTLE A M & CO*,201000000,IL,5051,,,,0,0,,,,,,,,0,0,1,,0,,,,0,,,,0,,,,,,,,,,,0,0,,0,,,,,,0,,,,0,,,Matched (3)
2904,MA,19780331,1978,1,INDL,C,D,STD,CWK.1,157339102,CHADWICK-MILLER INC,USD,1978Q1,1978Q1,9.6269999,.70700002,,,1.6950001,,3.2460001,7.2750001,0,,I,Norfolk,5099,.17606731,.52218115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
